Emp Code,Section
CL00016,MFD
CL00123,MFD
CL00136,MFD
CL00139,MFD
CL01371,MFD
CL01388,MFD
VS13984,MFD
CL00017,TDD
CL00120,TDD
CL00141,TDD
CL00153,TDD
CL00187,TDD
CL01211,TDD
CL01356,TDD
LM67248,TDD
CL00062,WET
CL00074,DRY
CL00075,VFDQC
CL00080,THIN FILM
CL00092,THIN FILM
CL00098,PHOTO
CL00101,WET
CL00102,DRY
CL00121,DRY
CL00126,DIFFU
CL00161,MFD
CL01036,
CL01112,THIN FILM
CL01114,IMP
CL01132,THIN FILM
CL01133,THIN FILM
CL01137,IMP
CL01145,THIN FILM
CL01152,PHOTO
CL01159,DRY
CL01166,IMP
CL01171,CMP
CL01200,DIFFU
CL01221,IMP
CL01235,PHOTO
CL01276,CMP
CL01323,PHOTO
CL01340,DRY
CL01369,THIN FILM
CL01383,CMP
CL01385,MFD
CL01400,PHOTO
CL01404,DIFFU
CL01428,DRY
CL01429,VFDQC
CL01431,DIFFU
CL01434,CMP
CL01484,DIFFU
CL01490,IMP
CL01528,PHOTO
CL01532,WET
SH15287,WET
VS36409,VFDQC
CL01253,GH
